trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",25,0,-90.94965991766841,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'e': 0.95, 'a': 0.5}",25,9,-78.75417620292693,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
3,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-39.45939979979525,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,False,"{'e': 0.8499999999999999, 'a': 0.5}",25,1,-68.914800727997,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
5,False,"{'e': 0.7999999999999998, 'a': 0.5}",30,0,-124.83048128639338,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
6,False,"{'e': 0.7499999999999998, 'a': 0.5}",30,0,-144.2503139410583,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
7,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,0,7.863672010120407,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,0,-49.98050797272591,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-37.47027866003458,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,10,13.341572685060525,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,18,13.67444879518088,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,13,6.698271878077918,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,10,30.068956648758974,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'e': 0.34999999999999964, 'a': 0.5}",30,19,23.169580677518873,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'e': 0.29999999999999966, 'a': 0.5}",35,0,-33.44779956246151,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,15,12.531491180049079,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,18,5.748750087226876,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,12,-17.25845501554234,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,2,26.5693693316523,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,5,26.353594257099097,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",30,16,26.72752484579354,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",20,0,30.351169631055285,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 0, 'a': 0}",20,2,25.401179938799206,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",25,19,9.818413389240067,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",20,10,14.713496246635767,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",25,12,20.760707672127722,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",25,14,17.927358562653463,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",25,12,24.212589723255423,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,12,17.279465798435815,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",25,13,20.131731291679426,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
