trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",25,0,-60.696525690840126,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
2,False,"{'e': 0.99, 'a': 0.5}",20,0,-51.3791937217216,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,False,"{'e': 0.98, 'a': 0.5}",20,0,-67.58473422541817,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'e': 0.97, 'a': 0.5}",25,0,-67.7344596717384,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'e': 0.96, 'a': 0.5}",20,0,-137.05998362329555,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,False,"{'e': 0.95, 'a': 0.5}",30,0,-111.4073030886371,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'e': 0.94, 'a': 0.5}",20,0,-65.35929857983545,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
8,False,"{'e': 0.9299999999999999, 'a': 0.5}",25,0,-209.59343312454385,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
9,False,"{'e': 0.9199999999999999, 'a': 0.5}",20,0,-108.1753374893298,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'e': 0.9099999999999999, 'a': 0.5}",20,15,0.5135887868023874,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,11,-35.094427454005604,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
12,False,"{'e': 0.8899999999999999, 'a': 0.5}",35,13,-44.635520829964186,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 0}",1
13,False,"{'e': 0.8799999999999999, 'a': 0.5}",35,17,-41.40358719436895,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 0}",1
14,False,"{'e': 0.8699999999999999, 'a': 0.5}",20,15,-0.6328991453930395,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'e': 0.8599999999999999, 'a': 0.5}",20,0,-133.7431336968553,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
16,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-118.87898345252363,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'e': 0.8399999999999999, 'a': 0.5}",20,0,-172.1838446315457,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
18,False,"{'e': 0.8299999999999998, 'a': 0.5}",20,0,-19.507837506529842,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
19,False,"{'e': 0.8199999999999998, 'a': 0.5}",25,0,-83.42015907089129,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
20,False,"{'e': 0.8099999999999998, 'a': 0.5}",25,0,-50.27326408170817,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
21,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-98.12825082799633,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",1
22,False,"{'e': 0.7899999999999998, 'a': 0.5}",30,0,-55.139884337066924,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
23,False,"{'e': 0.7799999999999998, 'a': 0.5}",20,0,-184.72576458496079,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
24,False,"{'e': 0.7699999999999998, 'a': 0.5}",25,3,-93.03772303034056,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 2}",1
25,False,"{'e': 0.7599999999999998, 'a': 0.5}",20,0,-128.81363460984633,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
26,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-138.66232619227796,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
27,False,"{'e': 0.7399999999999998, 'a': 0.5}",30,0,5.780987016000268,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
28,False,"{'e': 0.7299999999999998, 'a': 0.5}",20,6,-48.508401141332904,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
29,False,"{'e': 0.7199999999999998, 'a': 0.5}",30,0,-76.9857128586628,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
30,False,"{'e': 0.7099999999999997, 'a': 0.5}",35,0,-91.95371932452142,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
31,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,13,-19.28893363466852,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
32,False,"{'e': 0.6899999999999997, 'a': 0.5}",30,0,-170.02518464702936,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
33,False,"{'e': 0.6799999999999997, 'a': 0.5}",20,10,0.36007584897602074,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
34,False,"{'e': 0.6699999999999997, 'a': 0.5}",25,0,-8.6729563371421,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
35,False,"{'e': 0.6599999999999997, 'a': 0.5}",30,2,-21.00578554413839,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 1}",1
36,False,"{'e': 0.6499999999999997, 'a': 0.5}",35,10,15.079556701533459,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
37,False,"{'e': 0.6399999999999997, 'a': 0.5}",30,0,-55.809338449173076,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
38,False,"{'e': 0.6299999999999997, 'a': 0.5}",20,6,-16.651318160606788,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'e': 0.6199999999999997, 'a': 0.5}",20,8,-29.75389315520785,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
40,False,"{'e': 0.6099999999999997, 'a': 0.5}",20,14,4.23269669565207,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
41,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,10,-8.650957414988525,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'e': 0.5899999999999996, 'a': 0.5}",30,19,-11.988154377983623,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
43,False,"{'e': 0.5799999999999996, 'a': 0.5}",20,9,13.88466682958379,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'e': 0.5699999999999996, 'a': 0.5}",20,13,-7.3630691763681675,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'e': 0.5599999999999996, 'a': 0.5}",25,0,-16.285487776396796,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",1
46,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,13,3.060476398138824,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'e': 0.5399999999999996, 'a': 0.5}",20,4,-23.973953304649154,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
48,False,"{'e': 0.5299999999999996, 'a': 0.5}",20,10,-4.261146222093328,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
49,False,"{'e': 0.5199999999999996, 'a': 0.5}",20,11,-23.462989860336712,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'e': 0.5099999999999996, 'a': 0.5}",25,0,-75.19078278512075,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
51,False,"{'e': 0.49999999999999956, 'a': 0.5}",20,0,-53.60544574057261,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
52,False,"{'e': 0.48999999999999955, 'a': 0.5}",30,0,17.834563318223026,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
53,False,"{'e': 0.47999999999999954, 'a': 0.5}",20,6,-22.78392136822461,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
54,False,"{'e': 0.46999999999999953, 'a': 0.5}",30,0,-14.702465951887273,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
55,False,"{'e': 0.4599999999999995, 'a': 0.5}",20,13,15.91051210874298,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'e': 0.4499999999999995, 'a': 0.5}",20,13,5.6049617110657435,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'e': 0.4399999999999995, 'a': 0.5}",25,17,-0.10704905523122177,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'e': 0.4299999999999995, 'a': 0.5}",20,9,21.29892051261401,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'e': 0.4199999999999995, 'a': 0.5}",20,10,16.436895095425534,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'e': 0.4099999999999995, 'a': 0.5}",25,17,13.272736081882332,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'e': 0.39999999999999947, 'a': 0.5}",20,12,1.999371624227133,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'e': 0.38999999999999946, 'a': 0.5}",25,14,5.727781623854879,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'e': 0.37999999999999945, 'a': 0.5}",30,17,-24.127684465992594,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
64,False,"{'e': 0.36999999999999944, 'a': 0.5}",20,13,4.705938395091014,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'e': 0.35999999999999943, 'a': 0.5}",25,9,-18.279668239983046,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
66,False,"{'e': 0.3499999999999994, 'a': 0.5}",30,11,-11.417737431970357,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
67,False,"{'e': 0.3399999999999994, 'a': 0.5}",25,11,-10.841514696602456,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
68,False,"{'e': 0.3299999999999994, 'a': 0.5}",20,14,-28.896062337680867,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'e': 0.3199999999999994, 'a': 0.5}",20,16,7.515654777474516,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'e': 0.3099999999999994, 'a': 0.5}",35,21,-1.4608388388209397,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'e': 0.2999999999999994, 'a': 0.5}",20,3,-83.5436349126577,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 2}",1
72,False,"{'e': 0.28999999999999937, 'a': 0.5}",20,12,18.659517425074732,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'e': 0.27999999999999936, 'a': 0.5}",35,5,-88.87884217366847,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",1
74,False,"{'e': 0.26999999999999935, 'a': 0.5}",25,14,7.186786692072886,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'e': 0.25999999999999934, 'a': 0.5}",30,20,18.98115076452783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'e': 0.24999999999999933, 'a': 0.5}",25,17,-10.578068385253324,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'e': 0.23999999999999932, 'a': 0.5}",25,15,8.149461471489863,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'e': 0.22999999999999932, 'a': 0.5}",25,16,14.576625561205008,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'e': 0.2199999999999993, 'a': 0.5}",20,13,13.80876785422887,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'e': 0.2099999999999993, 'a': 0.5}",20,12,7.955404918257014,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'e': 0.1999999999999993, 'a': 0.5}",20,2,1.0229382112004877,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'e': 0.18999999999999928, 'a': 0.5}",20,12,15.540133721663864,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'e': 0.17999999999999927, 'a': 0.5}",25,10,17.55020791595772,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'e': 0.16999999999999926, 'a': 0.5}",35,21,5.1852851934032795,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'e': 0.15999999999999925, 'a': 0.5}",25,16,19.233606094755817,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'e': 0.14999999999999925, 'a': 0.5}",20,11,16.673026271722602,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'e': 0.13999999999999924, 'a': 0.5}",30,13,31.36390004639392,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'e': 0.12999999999999923, 'a': 0.5}",30,20,7.668262781872732,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'e': 0.11999999999999923, 'a': 0.5}",20,14,12.20752254821749,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'e': 0.10999999999999924, 'a': 0.5}",20,10,-23.49899823764788,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'e': 0.09999999999999924, 'a': 0.5}",20,10,18.756582302161497,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'e': 0.08999999999999925, 'a': 0.5}",20,16,6.369173954182481,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'e': 0.07999999999999925, 'a': 0.5}",20,6,21.86115832022229,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'e': 0.06999999999999926, 'a': 0.5}",25,13,21.449598686536458,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'e': 0.059999999999999255, 'a': 0.5}",20,12,13.841143605203976,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'e': 0.04999999999999925, 'a': 0.5}",30,21,7.764468893623681,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
