trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-22.518768200093145,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
2,False,"{'e': 1.0, 'a': 0.5}",25,3,-95.92399244951665,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
3,False,"{'e': 1.0, 'a': 0.5}",20,0,-154.28132871644993,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,False,"{'e': 1.0, 'a': 0.5}",25,0,-61.17877509480166,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
5,False,"{'e': 1.0, 'a': 0.5}",30,0,-117.07259719739142,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
6,False,"{'e': 1.0, 'a': 0.5}",20,0,-119.15555509605133,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,False,"{'e': 1.0, 'a': 0.5}",20,0,-75.42635010148153,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
8,False,"{'e': 1.0, 'a': 0.5}",25,0,-103.83226802026213,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'e': 1.0, 'a': 0.5}",20,0,-142.32200934010962,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'e': 1.0, 'a': 0.5}",30,0,-99.52498121339875,"{0: 18, 1: 9, 2: 1, 3: 1, 4: 1}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,0,-110.34937069345821,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
12,False,"{'e': 1.0, 'a': 0.5}",35,0,-166.1664553335243,"{0: 20, 1: 4, 2: 8, 3: 2, 4: 1}",0
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-126.18346622178397,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'e': 1.0, 'a': 0.5}",30,0,-174.56102316684564,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
15,False,"{'e': 1.0, 'a': 0.5}",25,0,-189.4168872167801,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
16,False,"{'e': 1.0, 'a': 0.5}",20,0,-49.168958092930026,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
17,False,"{'e': 1.0, 'a': 0.5}",25,0,-42.862956682089575,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",1
18,False,"{'e': 1.0, 'a': 0.5}",30,0,-89.6858006502203,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'e': 1.0, 'a': 0.5}",20,0,-130.9509148942377,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
20,False,"{'e': 1.0, 'a': 0.5}",25,0,-229.3081464463789,"{0: 10, 1: 7, 2: 3, 3: 1, 4: 4}",0
1,True,"{'e': 1.0, 'a': 0.5}",25,0,-107.64413613567204,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,True,"{'e': 1.0, 'a': 0.5}",20,0,-108.76884765665177,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,True,"{'e': 1.0, 'a': 0.5}",20,0,-136.98713723782603,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-110.53440272748121,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,10,-40.34593442114508,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 0}",1
6,True,"{'e': 1.0, 'a': 0.5}",20,0,-57.29697304937663,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,True,"{'e': 1.0, 'a': 0.5}",30,0,-119.46834230265297,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,True,"{'e': 1.0, 'a': 0.5}",25,0,-199.7466420434107,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
9,True,"{'e': 1.0, 'a': 0.5}",35,0,-205.30301214312135,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
10,True,"{'e': 1.0, 'a': 0.5}",20,0,-160.281717455721,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
